po_ref,vendor_name,product_reference,order_date,difot_date,order_qty,received_qty_before_difot,line_difot_score
PO07217,Amazon (Online for PO's),29000,2022-04-08 02:56:30,2022-05-13 02:56:30,1.0,1.0,1.0
PO07217,Amazon (Online for PO's),24015,2022-04-08 02:56:30,2022-05-13 02:56:30,1.0,1.0,1.0
PO06927,Altronics,29000,2022-02-07 04:05:10,2022-03-14 04:05:10,5.0,10.0,1.0
PO06927,Altronics,24015,2022-02-07 04:05:10,2022-03-14 04:05:10,1.0,1.0,1.0
PO06820,Officeworks Ltd.,24023,2022-01-14 04:23:58,2022-01-21 04:23:58,3.0,3.0,1.0
PO04697,Element14 Pty Ltd,1005111-001,2021-01-21 23:44:50,2021-02-25 23:44:50,10.0,10.0,1.0
PO06813,Bolt & Nut Australia,60500,2022-01-13 21:38:06,2022-01-20 21:38:06,10.0,261.0,1.0
PO07337,KF Plastics Pty Ltd,24015,2022-05-15 23:22:26,2022-06-19 23:22:26,1.0,1.0,1.0
PO07337,KF Plastics Pty Ltd,29000,2022-05-15 23:22:26,2022-06-19 23:22:26,1.0,4.0,1.0
PO06852,RS Components Pty Ltd,29000,2022-01-20 04:20:12,2022-01-27 04:20:12,1.0,51.0,1.0
PO05195,Open Wiring Systems,1004069-001,2021-04-27 01:51:08,2021-06-01 01:51:08,20.0,20.0,1.0
PO04445,Diamond Optics Pty Ltd,1007218-001,2020-11-23 04:12:43,2020-12-28 04:12:43,50.0,50.0,1.0
PO07071,Mektronics Australia Pty Ltd,29000,2022-03-07 00:43:06,2022-04-11 00:43:06,1.0,1.0,1.0
PO05104,Open Wiring Systems,1006374-001,2021-04-08 23:36:31,2021-05-13 23:36:31,10.0,9.0,0.9
PO04809,Digi-Key Electronics,1001567-001,2021-02-08 00:14:57,2021-02-15 00:14:57,30.0,30.0,1.0
PO05080,Digi-Key Electronics,1001567-001,2021-04-01 02:36:21,2021-04-08 02:36:21,20.0,20.0,1.0
PO06914,"Mouser Electronics, Inc.",1008035-001,2022-02-03 22:32:37,2022-02-10 22:32:37,15.0,15.0,1.0
PO05505,Open Wiring Systems,1007721-002,2021-06-23 05:25:15,2021-07-28 05:25:15,2.0,2.0,1.0
PO04169,Yangtze Optical Fibre and Cable Joint Stock Limited Company (YOFC),1006311-001,2020-08-17 06:34:09,2020-09-21 06:34:09,10.0,2.0,0.2
PO05561,"DJ MODEL & TOOLING CO.,LIMITED",1007793-002,2021-07-02 12:10:02,2021-08-06 12:10:02,10.0,10.0,1.0
PO06130,Micro Fasteners Pty Ltd,1007133-001,2021-10-04 23:51:23,2021-11-08 23:51:23,100.0,100.0,1.0
PO06130,Micro Fasteners Pty Ltd,1007595-001,2021-10-04 23:51:23,2021-11-08 23:51:23,500.0,500.0,1.0
PO06130,Micro Fasteners Pty Ltd,1000603-001,2021-10-04 23:51:23,2021-11-08 23:51:23,500.0,500.0,1.0
PO06130,Micro Fasteners Pty Ltd,1001269-001,2021-10-04 23:51:23,2021-11-08 23:51:23,500.0,500.0,1.0
